dataset,column_name,data_type,description,source_id,reliability_tier,example_value,transformation_notes,verification_status
blockade_scenario_model,scenario,string,"Full scenario name — one of four disruption scenarios modeled",DERIVED,3,"Scenario A: Full Military Blockade","No transformation. Labels authored by Ray Garza based on geopolitical and supply chain literature.",VERIFIED
blockade_scenario_model,scenario_code,string,"Single letter code A/B/C/D for Tableau filtering and viz logic",DERIVED,3,A,"Assigned by author for ease of filtering. Maps to scenario column.",VERIFIED
blockade_scenario_model,industry,string,"Industry sector affected — 7 sectors modeled",DERIVED,3,Automotive,"Sectors selected based on semiconductor end-market consumption data from SIA 2025 Factbook.",VERIFIED
blockade_scenario_model,tsmc_dependency_pct,integer,"Estimated percentage of industry chip supply that originates from TSMC fabs",SRC019,2,65,"Industry-level estimate derived from TSMC foundry market share data and end-market chip sourcing reports. Not company-level data.",NEEDS_VERIFICATION
blockade_scenario_model,china_materials_dependency_pct,integer,"Estimated percentage of critical materials inputs (gallium germanium rare earths) sourced from China",SRC009 / SRC013,1,45,"China produces 94% of global gallium (SRC013) and 83% of germanium. Industry-level exposure varies. Defense lower due to strategic stockpiles.",NEEDS_VERIFICATION
blockade_scenario_model,typical_inventory_days,integer,"Typical number of days of chip inventory a given industry carries under normal operating conditions",SRC021,2,45,"Automotive JIT: 30-45 days (AlixPartners SRC021). Other sectors estimated from industry reports. Flag as Tier 4 for non-automotive sectors.",NEEDS_VERIFICATION
blockade_scenario_model,hits_wall_30day,string,"yes/no — does this industry exhaust chip inventory within 30 days of supply disruption",DERIVED,3,no,"Derived from typical_inventory_days. If inventory_days < 30 then yes. Simple threshold logic.",VERIFIED
blockade_scenario_model,hits_wall_60day,string,"yes/no — does this industry exhaust chip inventory within 60 days of supply disruption",DERIVED,3,yes,"Derived from typical_inventory_days. If inventory_days < 60 then yes.",VERIFIED
blockade_scenario_model,hits_wall_90day,string,"yes/no — does this industry exhaust chip inventory within 90 days of supply disruption",DERIVED,3,yes,"Derived from typical_inventory_days. If inventory_days < 90 then yes.",VERIFIED
blockade_scenario_model,hits_wall_180day,string,"yes/no — does this industry exhaust chip inventory within 180 days of supply disruption",DERIVED,3,yes,"All industries hit wall by 180 days in all scenarios. No industry carries 6 months of inventory.",VERIFIED
blockade_scenario_model,annual_chip_spend_b,float,"Estimated annual semiconductor spend by this industry globally in billions USD",SRC019 / SIA 2025 Factbook,2,45,"Figures from SIA 2025 Factbook and industry analyst reports. Verify against SIA publications before publishing.",NEEDS_VERIFICATION
blockade_scenario_model,gdp_impact_b_if_prolonged,float,"Estimated GDP impact in billions USD if supply disruption extends beyond 90 days",SRC024 / SRC025,3,210,"Mixed tier. Automotive $210B from 2021 actuals (Tier 2). Other sectors modeled proportionally. Flag clearly as estimates.",FLAG_AS_ESTIMATE
blockade_scenario_model,us_domestic_coverage_pct_2030,integer,"Estimated percentage of industry chip needs covered by US domestic production by 2030 assuming all CHIPS Act projects complete on schedule",SRC022,1,8,"Based on Commerce Dept projection of 20% leading-edge logic coverage by 2030. Sector adjustments derived from CHIPS Act award type distribution.",NEEDS_VERIFICATION
blockade_scenario_model,current_status_of_scenario,string,"Plain English description of whether scenario is hypothetical active or partially active as of March 2026",SRC017 / SRC011 / SRC014,2,"ACTIVE — China banned gallium/germanium exports to US Dec 2024","Updated to reflect March 2026 geopolitical status. Requires manual update as situation evolves.",CURRENT_AS_OF_2026_03_24
blockade_scenario_model,scenario_already_active,string,"yes/no/partial — is any component of this scenario already occurring",SRC017 / SRC011 / SRC014,2,yes,"Scenario A: no. Scenario B: yes (gray zone active). Scenario C: yes (export controls in effect). Scenario D: partial (earthquakes occurring not catastrophic).",CURRENT_AS_OF_2026_03_24
blockade_scenario_model,key_chips_affected,string,"Comma-separated list of chip types most exposed in this industry/scenario combination",SRC019,2,"Microcontrollers, ADAS, power management","Qualitative descriptor. Not exhaustive. For executive communication only.",VERIFIED
blockade_scenario_model,real_world_precedent,string,"Historical or current event that validates the modeled impact",SRC025 / SRC015 / SRC011,2,"2021 chip shortage caused $210B lost revenue industry-wide","Sourced from cited references. Each precedent has a corresponding source_id.",VERIFIED
blockade_scenario_model,source_notes,string,"Inline citation notes for the specific row",Multiple,varies,"TSMC market share: TrendForce 2024.","Abbreviated inline citations. Full citations in source_registry.csv.",VERIFIED

chips_act_awards_manual,company,string,"Legal or common name of CHIPS Act award recipient",SRC005,1,TSMC,"Matches SIA tracker naming convention.",VERIFIED
chips_act_awards_manual,state,string,"US state(s) where funded project(s) are located",SRC005,1,AZ,"Multi-state awards use / separator e.g. OH/AZ/OR/NM",VERIFIED
chips_act_awards_manual,city,string,"City or cities of project location",SRC005 / SRC008,1,Phoenix,"Best available from press releases. Some TBD where not publicly announced.",NEEDS_VERIFICATION
chips_act_awards_manual,chips_type,string,"Category of semiconductor manufacturing — logic/memory/mature_node/compound/materials/packaging/defense/automotive/rd",SRC005 / SRC006,1,logic,"Classification based on project descriptions in SIA tracker and GAO report (SRC006).",VERIFIED
chips_act_awards_manual,announced_amount_b,float,"Total funding announced in preliminary memorandum of terms in billions USD",SRC005,1,6.6,"PMT amount. May differ from final award due to negotiation.",VERIFIED
chips_act_awards_manual,finalized_amount_b,float,"Final signed award amount in billions USD. Zero if not yet finalized.",SRC005 / SRC008,1,6.6,"Sourced from NIST press releases (SRC008) and SIA tracker (SRC005). Zero for proposed-only rows.",VERIFIED
chips_act_awards_manual,status,string,"Current award status: finalized / proposed / renegotiating",SRC005 / SRC007,1,finalized,"renegotiating flag applied to Intel based on SRC007 reporting of Trump admin modifications. Verify others against current SIA tracker.",CURRENT_AS_OF_2026_03_24
chips_act_awards_manual,date_proposed,date,"Date preliminary memorandum of terms was signed. Format YYYY-MM-DD.",SRC005 / SRC008,1,2024-04-08,"Sourced from SIA tracker date fields and NIST press release archives.",VERIFIED
chips_act_awards_manual,date_finalized,date,"Date final award agreement was signed. Null if not yet finalized. Format YYYY-MM-DD.",SRC005 / SRC008,1,2024-11-15,"Sourced from NIST press releases (SRC008). Null values are meaningful — they indicate proposed-only status.",VERIFIED
chips_act_awards_manual,expected_completion,integer,"Expected year of project completion per award documents",SRC006,1,2025,"From GAO report milestone analysis (SRC006). Milestones span Nov 2024 through Oct 2033.",VERIFIED
chips_act_awards_manual,notes,string,"Qualitative context notes including project description and strategic significance",SRC005 / SRC007 / SRC008,2,"First fab certified complete June 2025","Compiled from press releases and tracker descriptions. Not a data field — narrative context only.",VERIFIED

company_financials,ticker,string,"Stock exchange ticker symbol",SRC002,1,AMAT,"Standard ticker. Samsung uses KRX ticker 005930.KS for Korean exchange.",VERIFIED
company_financials,company_name,string,"Full company name",SRC002,1,Applied Materials Inc,"Pulled from yfinance info object.",VERIFIED
company_financials,fiscal_year,integer,"Fiscal year of reported financials",SRC002,1,2024,"Calendar year for most. TSMC fiscal year = calendar year. Verify Intel/Samsung fiscal year alignment.",NEEDS_VERIFICATION
company_financials,revenue_b,float,"Total annual revenue in billions USD",SRC002,1,26.5,"Pulled from yfinance income statement. Converted from local currency to USD using year-average exchange rate where applicable.",NEEDS_VERIFICATION
company_financials,capex_b,float,"Capital expenditure in billions USD — property plant and equipment purchases",SRC002,1,3.2,"From cash flow statement. Key metric for capex cycle analysis in Panel 1.",VERIFIED
company_financials,rd_spend_b,float,"Research and development expenditure in billions USD",SRC002,1,3.1,"From income statement. Shows R&D investment trajectory alongside capex.",VERIFIED
company_financials,gross_margin_pct,float,"Gross profit as percentage of revenue",SRC002,1,47.5,"Indicates pricing power and competitive position. TSMC margin expansion is key story.",VERIFIED
company_financials,company_type,string,"Classification: equipment_maker / foundry / fabless / memory / sub_tier_supplier",DERIVED,3,equipment_maker,"Assigned by author. Used for color coding and filtering in Tableau.",VERIFIED

trade_flow_data,year,integer,"Year of trade flow record",SRC001,1,2023,"BACI annual data. Most recent complete year in V202401 release.",VERIFIED
trade_flow_data,exporter_iso3,string,"3-letter ISO country code of exporting country",SRC001,1,TWN,"Standard ISO 3166-1 alpha-3. TWN=Taiwan KOR=South Korea NLD=Netherlands USA=United States CHN=China.",VERIFIED
trade_flow_data,importer_iso3,string,"3-letter ISO country code of importing country",SRC001,1,USA,"Same ISO standard.",VERIFIED
trade_flow_data,hs6_code,string,"6-digit Harmonized System product code",SRC001,1,854231,"854231 and 854239 = integrated circuits (chips). 854110-854190 = discrete semiconductor devices.",VERIFIED
trade_flow_data,trade_value_usd,float,"Trade flow value in current USD",SRC001,1,4523891234,"BACI harmonizes export/import reporting discrepancies. Value in current year USD.",VERIFIED
trade_flow_data,hs_description,string,"Human-readable description of HS code product category",SRC001,1,Electronic integrated circuits - processors and controllers,"Added during Spark transformation for readability. Not in raw BACI file.",DERIVED_IN_SPARK
